"BehaviorSpace results (NetLogo 6.2.2)"
"bee.nlogo"
"experiment1"
"03/09/2023 19:39:52:677 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"food","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150","1150"
"[steps]","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424","16424"

"[initial & final values]","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees","count bees"
,"474","369","176","90","0","206","0","0","39","136","107","0","0","0","111","243","56","0","0","0","0","0","209","0","116","137","238","0","134","222","0","260","127","0","173","0","0","201","0","57","0","311","110","148","0","186","0","0","365","0","0","0","150","119","320","148","158","0","173","94","0","0","0","0","0","265","23","171","0","0","0","129","25","93","0","399","125","133","277","0","205","0","198","0","262","174","0","116","0","0","0","53","159","0","114","91","0","103","172","0"
